x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-77.026509191	38.90965001	10278342	3234193	False	P012	DISOBEYING OFFICIAL SIGN	1100 BLOCK P ST NW NORTH SIDE	VA	PU	801700	1414.0	397701	137976	Parking_Violations_in_January_2013.csv	2013-01-14T11:26:00.000Z
-77.0319587886	38.9007754193	1903386	13565972	False	P159	NO STOPPING OR STANDING IN AM RUSH HOUR ZONE	BLOCK OF 900 14TH ST NW WEST SIDE	MD	TK	810420	8931.0	397228	136991	Parking_Violations_in_August_2015.csv	2015-08-12T09:02:00.000Z
-77.0701522703	38.9126497519	9536277	3288809	False	P112	FAIL TO REPORT FOR INSPECTION.	3600 BLOCK RESERVOIR RD NW NORTH SI	DC	4D	809087	7782.0	393916	138311	Parking_Violations_in_December_2012.csv	2012-12-13T16:09:00.000Z
-77.0280836877	38.8967496771	11056263	7884224	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	0600 BLOCK 12TH ST NW WEST SIDE	DC	4D	809905	8465.0	397564	136544	Parking_Violations_in_September_2010.csv	2010-09-14T16:25:00.000Z
-77.0066980061	38.8770154979	6219043	12294166	False	P037	PARK OVERTIME AT A METER	1100 BLOCK CUSHING PL SE EAST SIDE	VA	4D	803220	2675.0	399419	134353	Parking_Violations_in_May_2009.csv	2009-05-05T09:54:00.000Z
-77.0644706234	38.9029510322	12559804	10498004	False	P170	FAILURE TO DISPLAY CURRENT TAGS	3300 BLOCK WATER ST NW NORTH SIDE	DC	VN	806085	5225.0	394408	137234	Parking_Violations_in_July_2009.csv	2009-07-16T20:31:00.000Z
-77.0176349508	38.877870156	9626277	1055382	False	P014	EMERGENCY NO PARKING	1100 BLOCK 4TH ST SW EAST SIDE	VA	4D	815976	14208.0	398470	134448	Parking_Violations_in_September_2014.csv	2014-09-29T11:22:00.000Z
-77.0174709513	38.9140928234	628631	12893770	False	P013	PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY	418 S ST NW	VA	4D	813402	11530.0	398485	138469	Parking_Violations_in_March_2014.csv	2014-03-01T23:54:00.000Z
-77.0313002948	38.8976316792	10207355	7789016	False	P031	UNAUTHORIZED VEHICLE IN LOADING ZONE	1345 FRONT F ST NW NORTH SIDE	MD	SW	279108	8037.0	397285	136642	Parking_Violations_in_September_2010.csv	2010-09-15T18:11:00.000Z
-77.0229555997	38.9021107725	10961474	9429544	False	P039	PARK AT EXPIRED METER	0900 K ST NW BLOCK SOUTH SIDE	MD		800084	74.0	398009	137139	Parking_Violations_in_October_2012.csv	2012-10-22T10:14:00.000Z
-77.0199098055	38.8940128124	9649583	4219012	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	0400 BLOCK 6TH ST NW WEST SIDE	VA	4D	808082	6924.0	398273	136240	Parking_Violations_in_July_2012.csv	2012-07-17T16:15:00.000Z
-77.0388890963	38.9040523598	643796	507444	False	P002	STAND OR PARK IN ALLEY	1100 17TH ST NW EAST SIDE	MD	TK	241793	11549.0	396627	137355	Parking_Violations_in_April_2015.csv	2015-03-11T10:33:00.000Z
-77.0347628225	38.9298715432	9005145	3165579	False	P281	FAIL TO DISPLAY A MULTISPACE METER RECEIPT	3200 BLOCK HIATT PL NW EAST SIDE	DC	UT	814475	12476.0	396986	140221	Parking_Violations_in_March_2013.csv	2013-03-13T16:49:00.000Z
-77.0292577589	38.920585474	1830097	3773098	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	1300 BLOCK FLORIDA AV NW NORTH SIDE	MD	4D	803687	3304.0	397463	139190	Parking_Violations_in_October_2012.csv	2012-10-22T20:12:00.000Z
-76.9847474452	38.9142012347	8101033	9484593	False	P007	PARK IN A BUS ZONE	1900 FENWICK ST NE BLOCK EAST SIDE	MD		118195	11590.0	401323	138481	Parking_Violations_in_October_2013.csv	2013-10-12T01:21:00.000Z
-77.0201296973	38.8971116532	7787414	9922329	False	P269	NO STANDING ANYTIME	0600 F ST NW BLOCK NORTH SIDE	DC		238713	3935.0	398254	136584	Parking_Violations_in_July_2011.csv	2011-07-20T19:01:00.000Z
-77.0261145292	38.9339005093	2682042	4911407	False	P007	PARK IN A BUS ZONE	3600 BLOCK NEW HAMPSHIRE AV NW EAST	DC	VA	800803	589.0	397736	140668	Parking_Violations_in_April_2012.csv	2012-04-03T20:34:00.000Z
